Country Name,Indicator Name,2013,2014,2015
Aruba,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Afghanistan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.612999916,7.828000069,7.945000172
Angola,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.968999863,6.956999779,6.94299984
Albania,"Unemployment, male (% of male labor force) (modeled ILO estimate)",17.48200035,19.14900017,17.03700066
Andorra,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Arab World,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.993910692,8.018521988,7.95941807
United Arab Emirates,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.906999946,1.66900003,1.422000051
Argentina,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.125999928,6.493000031,6.401000023
Armenia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",14.42000008,15.75500011,17.38500023
American Samoa,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Antigua and Barbuda,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Australia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.705999851,5.993000031,6.051000118
Austria,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.367000103,5.829999924,6.084000111
Azerbaijan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.037000179,4.019000053,4.087999821
Burundi,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.934000015,2.04399991,2.049999952
Belgium,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.645000458,9.015999794,9.088000298
Benin,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.424999952,2.421000004,2.417999983
Burkina Faso,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.88499999,4.052000046,4.048999786
Bangladesh,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.421999931,3.367000103,3.312999964
Bulgaria,"Unemployment, male (% of male labor force) (modeled ILO estimate)",13.90100002,12.30900002,9.772000313
Bahrain,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.469000012,0.463,0.455000013
"Bahamas, The","Unemployment, male (% of male labor force) (modeled ILO estimate)",15.23499966,13.02400017,11.35700035
Bosnia and Herzegovina,"Unemployment, male (% of male labor force) (modeled ILO estimate)",26.50099945,25.16500092,25.76799965
Belarus,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.509000003,0.488999993,0.488999993
Belize,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.768000126,6.198999882,6.606999874
Bermuda,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Bolivia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.960999966,1.375,2.563999891
